vlname;netwadd;mask;gw;range_start;range_end;broadcast;wildcard
269;10.0.4.80;255.255.255.240;10.0.4.81/28;10.0.4.81;10.0.4.94;10.0.4.95;0.0.0.15
270;10.0.4.96;255.255.255.240;10.0.4.97/28;10.0.4.97;10.0.4.110;10.0.4.111;0.0.0.15
271;10.0.4.112;255.255.255.240;10.0.4.113/28;10.0.4.113;10.0.4.126;10.0.4.127;0.0.0.15
272;10.0.4.128;255.255.255.240;10.0.4.129/28;10.0.4.129;10.0.4.142;10.0.4.143;0.0.0.15
273;10.0.4.144;255.255.255.240;10.0.4.145/28;10.0.4.145;10.0.4.158;10.0.4.159;0.0.0.15
274;10.0.4.160;255.255.255.240;10.0.4.161/28;10.0.4.161;10.0.4.174;10.0.4.175;0.0.0.15
275;10.0.4.176;255.255.255.240;10.0.4.177/28;10.0.4.177;10.0.4.190;10.0.4.191;0.0.0.15
276;10.0.4.192;255.255.255.240;10.0.4.193/28;10.0.4.193;10.0.4.206;10.0.4.207;0.0.0.15
277;10.0.4.208;255.255.255.240;10.0.4.209/28;10.0.4.209;10.0.4.222;10.0.4.223;0.0.0.15
278;10.0.4.224;255.255.255.240;10.0.4.225/28;10.0.4.225;10.0.4.238;10.0.4.239;0.0.0.15
279;10.0.4.240;255.255.255.240;10.0.4.241/28;10.0.4.241;10.0.4.254;10.0.4.255;0.0.0.15
280;10.0.5.0;255.255.255.240;10.0.5.1/28;10.0.5.1;10.0.5.14;10.0.5.15;0.0.0.15
281;10.0.5.16;255.255.255.240;10.0.5.17/28;10.0.5.17;10.0.5.30;10.0.5.31;0.0.0.15
282;10.0.5.32;255.255.255.240;10.0.5.33/28;10.0.5.33;10.0.5.46;10.0.5.47;0.0.0.15
283;10.0.5.48;255.255.255.240;10.0.5.49/28;10.0.5.49;10.0.5.62;10.0.5.63;0.0.0.15
284;10.0.5.64;255.255.255.240;10.0.5.65/28;10.0.5.65;10.0.5.78;10.0.5.79;0.0.0.15
285;10.0.5.80;255.255.255.240;10.0.5.81/28;10.0.5.81;10.0.5.94;10.0.5.95;0.0.0.15
